,name,ticker,equityType,sicSector,sicIndustry,ticker_classification
18859,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,AMMD,Domestic Common Stock,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,mid
18897,AMERICAN MEDICAL SECURITY GROUP INC,AMZ,Domestic Common Stock,Finance Insurance And Real Estate,Hospital & Medical Service Plans,mid
18906,AMERICAN MORTGAGE ACCEPTANCE CO,AMOAQ,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,small
18910,AMERICAN NATIONAL CAN GROUP INC,CAN1,Domestic Common Stock,Manufacturing,Metal Cans,small
18914,AMERICAN NATIONAL BANKSHARES INC,AMNB,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
18940,AMERICAN NATIONAL GROUP INC,ANAT,Domestic Common Stock,Finance Insurance And Real Estate,Life Insurance,mid
18976,AMERICAN ORIENTAL BIOENGINEERING INC,AOBI,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
18983,AMERICAN PACIFIC CORP,APFC,Domestic Common Stock,Manufacturing,Industrial Inorganic Chemicals,mid
18985,AMERICAN PHYSICIANS CAPITAL INC,ACAP,Domestic Common Stock,Finance Insurance And Real Estate,Hospital & Medical Service Plans,mid
19009,AMERICAN RETIREMENT CORP,ACR1,Domestic Common Stock,Services,Services-Skilled Nursing Care Facilities,mid
19013,AMERICAN POWER CONVERSION CORP,APCC,Domestic Common Stock,Manufacturing,Electrical Industrial Apparatus,mid
19080,AMERICAN RAILCAR INDUSTRIES INC,ARII,Domestic Common Stock,Manufacturing,Railroad Equipment,mid
19119,AMERICAN REALTY INVESTORS INC,ARL,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Operators (No Developers) & Lessors,small
19126,AMERICAN REALTY CAPITAL TRUST INC,ARCT1,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate,small
19130,AMERICAN REALTY CAPITAL HEALTHCARE TRUST INC,HCT,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,small
19133,AMERICAN RENAL ASSOCIATES HOLDINGS INC,ARA,Domestic Common Stock,Services,Services-Misc Health & Allied Services Nec,small
19139,AMERICAN RESIDENTIAL PROPERTIES INC,ARPI,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
19149,AMERICAN SCIENCE & ENGINEERING INC,ASEI,Domestic Common Stock,Manufacturing,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,mid
19185,AMERICAN SKIING CO,AESK,Domestic Common Stock,Services,Services-Miscellaneous Amusement & Recreation,small
19209,AMERICAN SPECTRUM REALTY INC,AQQSQ,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,small
19210,AMERICAN STATES WATER CO,AWR,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Water Supply,mid
19263,AMERICAN SUPERCONDUCTOR CORP,AMSC,Domestic Common Stock,Manufacturing,Motors & Generators,mid
19311,AMERICAN TECHNICAL CERAMICS CORP,AMK1,Domestic Common Stock,Manufacturing,Electronic Components & Accessories,small
19335,AMERICAN VANGUARD CORP,AVD,Domestic Common Stock,Manufacturing,Agricultural Chemicals,mid
19377,AMERICAN WATER WORKS CO INC,AWK1,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Water Supply,mid
19418,AMERICAN WOODMARK CORP,AMWD,Domestic Common Stock,Manufacturing,Millwood Veneer Plywood & Structural Wood Members,mid
19464,AMERICREDIT CORP,ACF,Domestic Common Stock,Finance Insurance And Real Estate,Finance Services,mid
19509,AMERICAS CARMART INC,CRMT,Domestic Common Stock,Retail Trade,Retail-Auto Dealers & Gasoline Stations,mid
19554,AMERISTAR CASINOS INC,ASCA1,Domestic Common Stock,Services,Hotels & Motels,mid
19592,AMERON INTERNATIONAL CORP,AMN1,Domestic Common Stock,Manufacturing,Concrete Gypsum & Plaster Products,mid
19619,AMERIPATH INC,PATH1,Domestic Common Stock,Services,Services-Medical Laboratories,mid
19625,AMERISAFE INC,AMSF,Domestic Common Stock,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
19667,AMERUS GROUP CO,AMH1,Domestic Common Stock,Finance Insurance And Real Estate,Life Insurance,mid
19783,AMERITYRE CORP,AMTY,Domestic Common Stock,Manufacturing,Tires & Inner Tubes,small
19787,AMERISERV FINANCIAL INC,ASRV,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,National Commercial Banks,mid
19835,AMERIS BANCORP,ABCB,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
19873,AMES DEPARTMENT STORES INC,AMESQ,Domestic Common Stock,Retail Trade,Retail-Variety Stores,small
19880,AMERITECH CORP,AIT1,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),mid
19882,AMES NATIONAL CORP,ATLO,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
20054,AMIS HOLDINGS INC,AMIS,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
20069,AMKOR TECHNOLOGY INC,AMKR,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
20117,AMPAL-AMERICAN ISRAEL CORP,AMPLQ,Domestic Common Stock,Finance Insurance And Real Estate,Investors Nec,mid
20122,AMPCO PITTSBURGH CORP,AP,Domestic Common Stock Primary Class,Manufacturing,Pumps & Pumping Equipment,mid
20150,AMPEX CORP,AMPXQ,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,small
20208,AMPHASTAR PHARMACEUTICALS INC,AMPH,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
20218,AMPIO PHARMACEUTICALS INC,AMPE,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
20238,AMPLIFY SNACK BRANDS INC,BETR1,Domestic Common Stock,Manufacturing,Food And Kindred Products,mid
20246,AMREP CORP,AXR,Domestic Common Stock,Manufacturing,Periodicals: Publishing Or Publishing & Printing,mid
20254,AMSOUTH BANCORPORATION,ASO1,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
20281,AMREIT INC,AMRE,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,small
20353,AMTECH SYSTEMS INC,ASYS,Domestic Common Stock,Manufacturing,Special Industry Machinery Nec,mid
20358,AMYLIN PHARMACEUTICALS INC,AMLN,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
20391,ATA HOLDINGS CORP,ATAHQ,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,small
20394,AMTRUST FINANCIAL SERVICES INC,AFSI,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
20423,AMYRIS INC,AMRSQ,Domestic Common Stock,Manufacturing,Industrial Organic Chemicals,mid
20514,ANADIGICS INC,ANAD,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
20539,ANADYS PHARMACEUTICALS INC,ANDS,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
20605,ANALOGIC CORP,ALOG,Domestic Common Stock,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,mid
20661,ANALYSTS INTERNATIONAL CORP,ANLY,Domestic Common Stock,Services,Services-Computer Programming Services,mid
20663,ANAPTYSBIO INC,ANAB,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
20665,ANAREN  INC,ANEN,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
20700,ANAVEX LIFE SCIENCES CORP,AVXL,Domestic Common Stock,Services,Services-Commercial Physical & Biological Research,small
20713,ANCHOR BANCORP WISCONSIN INC,ABCWQ,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,mid
20738,ANCHOR BANCORP WISCONSIN INC,ABCW,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,small
20741,ANCHOR GAMING,SLOT1,Domestic Common Stock,Services,Services-Miscellaneous Amusement & Recreation,mid
20743,ANCHOR GLASS CONTAINER CORP,AGCCQ,Domestic Common Stock,Manufacturing,Glass Containers,small
20744,ANCOR COMMUNICATIONS INC,ANCR,Domestic Common Stock,Manufacturing,Computer Communications Equipment,small
20745,ANDERSONS INC,ANDE,Domestic Common Stock,Wholesale Trade,Wholesale-Farm Product Raw Materials,mid
20783,ANDOVER BANCORP INC,ANDB,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,small
20785,ANDREW CORP,ANDW,Domestic Common Stock,Manufacturing,Drawing & Insulating Of Nonferrous Wire,mid
20816,ANDRX CORP,ADRX,Domestic Common Stock Primary Class,Manufacturing,Pharmaceutical Preparations,mid
20837,ANESTA CORP,NSTA,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
20838,ANESIVA INC,ANSVQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
20839,ANGEION CORP,ANGN1,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,small
20840,ANGELICA CORP,AGL1,Domestic Common Stock,Services,Services-Personal Services,mid
20854,ANGIODYNAMICS INC,ANGO,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
20895,ANGIOTECH PHARMACEUTICALS INC,ANPIQ,Canadian Common Stock,Manufacturing,Pharmaceutical Preparations,mid
20907,ANGLOGOLD ASHANTI (PTY) LTD,AU,ADR Common Stock,Mining,Gold And Silver Ores,mid
20926,ANHEUSER-BUSCH COMPANIES INC,BUD1,Domestic Common Stock,Manufacturing,Malt Beverages,large
21003,ANIMAL HEALTH HOLDINGS INC,AHII1,Domestic Common Stock,Wholesale Trade,Wholesale-Medical Dental & Hospital Equipment & Supplies,small
21010,ANIMAS CORP,PUMP1,Domestic Common Stock,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,small
21017,ANIXTER INTERNATIONAL INC,AXE,Domestic Common Stock,Wholesale Trade,Wholesale-Electrical Apparatus & Equipment Wiring Supplies,mid
21154,ANSOFT CORP,ANST,Domestic Common Stock,Services,Services-Prepackaged Software,mid
21237,ANSWERS CORP,ANSW,Domestic Common Stock,Services,Services-Prepackaged Software,small
21238,ANTARES PHARMA INC,ATRS,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
21261,ANTEON INTERNATIONAL CORP,ANT,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
21277,ANTHERA PHARMACEUTICALS INC,ANTH,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
21288,ANTERO RESOURCES CORP,AR,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
21314,ANWORTH MORTGAGE ASSET CORP,ANH,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
21360,A123 SYSTEMS INC,AONEQ,Domestic Common Stock,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,mid
21371,AOXING PHARMACEUTICAL COMPANY INC,AOXG,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
21434,APARTMENT INVESTMENT & MANAGEMENT CO,AIV,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,large
21502,FOURTHSTAGE TECHNOLOGIES INC,FOUR2,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,small
21504,APEX MORTGAGE CAPITAL INC,AXM,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,small
21511,APOGEE ENTERPRISES INC,APOG,Domestic Common Stock,Manufacturing,Glass Products Made Of Purchased Glass,mid
21565,APHTON CORP,APHTQ,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
21649,APOLLO COMMERCIAL REAL ESTATE FINANCE INC,ARI,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
21677,APOLLO RESIDENTIAL MORTGAGE INC,AMTG,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
21692,APIGEE CORP,APIC,Domestic Common Stock,Services,Services-Prepackaged Software,small
21759,APPFOLIO INC,APPF,Domestic Common Stock,Services,Services-Prepackaged Software,small
21766,APPLE HOSPITALITY REIT INC,APLE,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
21775,APPLEBEES INTERNATIONAL INC,APPB,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
21799,APPLIED INNOVATION INC,AINN,Domestic Common Stock,Manufacturing,Telephone & Telegraph Apparatus,small
21803,APRIA HEALTHCARE GROUP INC,AHG1,Domestic Common Stock,Services,Services-Home Health Care Services,mid
21832,JANONE INC,JAN,Domestic Common Stock,Retail Trade,Retail-Home Furniture Furnishings & Equipment Stores,small
21833,APPLICA INC,APN2,Domestic Common Stock,Manufacturing,Electric Housewares & Fans,mid
21848,APPLIED DNA SCIENCES INC,APDN,Domestic Common Stock Primary Class,Services,Services-Miscellaneous Business Services,small
21850,APPLIED FILMS CORP,AFCO1,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
21865,APPLIED ENERGETICS INC,AERG,Domestic Common Stock,Manufacturing,Search Detection Navagation Guidance Aeronautical Sys,small
21868,APPLIED INDUSTRIAL TECHNOLOGIES INC,AIT,Domestic Common Stock,Wholesale Trade,Wholesale-Machinery Equipment & Supplies,mid
21932,APPLIED GENETIC TECHNOLOGIES CORP,AGTC,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
22069,APPLIED SCIENCE & TECHNOLOGY INC,ASTX1,Domestic Common Stock,Manufacturing,Special Industry Machinery Nec,small
22070,APPLIED SIGNAL TECHNOLOGY INC,APSG1,Domestic Common Stock,Manufacturing,Communications Equipment Nec,mid
22082,APPLIED MOLECULAR EVOLUTION INC,AMEV,Domestic Common Stock,Services,Services-Commercial Physical & Biological Research,small
22105,APPLIEDTHEORY CORP,ATHYQ,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,small
22106,APPLIX INC,APLX,Domestic Common Stock,Services,Services-Prepackaged Software,small
22108,APROPOS TECHNOLOGY INC,APRS,Domestic Common Stock,Services,Services-Prepackaged Software,small
22110,APTARGROUP INC,ATR,Domestic Common Stock,Manufacturing,Plastics Products Nec,mid
22162,APTIMUS INC,APTM1,Domestic Common Stock,Services,Services-Business Services Nec,small
22194,APPTIO INC,APTI,Domestic Common Stock,Services,Services-Prepackaged Software,small
22197,APTEVO THERAPEUTICS INC,APVO,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
22200,AQUA METALS INC,AQMS,Domestic Common Stock,Manufacturing,Secondary Smelting & Refining Of Nonferrous Metals,small
22206,AQUILA MERCHANT SERVICE INC,ILA.A,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,small
22209,AQUILA INC,ILA,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Electric Services,mid
22232,AQUABOUNTY TECHNOLOGIES INC,AQB,Domestic Common Stock,Agriculture Forestry And Fishing,Fishing Hunting And Trapping,small
22233,ARACRUZ CELLULOSE S A,ARA1,ADR Common Stock,Manufacturing,Pulp Mills,mid
22248,ARADIGM CORP,ARDMQ,Domestic Common Stock,Manufacturing,Electromedical & Electrotherapeutic Apparatus,mid
22249,ARAMARK CORP,RMK,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
22268,ARAMARK,ARMK,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
22282,ARALEZ PHARMACEUTICALS INC,ARLZQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
22298,ARBINET CORP,ARBX,Domestic Common Stock,Services,Services-Business Services Nec,small
22302,ARBITRON INC,ARB1,Domestic Common Stock,Services,Services-Engineering Accounting Research Management,mid
22348,ARBOR REALTY TRUST INC,ABR,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
22367,ARCADIA BIOSCIENCES INC,RKDA,Domestic Common Stock,Agriculture Forestry And Fishing,Agricultural Production-Crops,small
22370,ARCBEST CORP,ARCB,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Trucking (No Local),mid
22384,ARCH CHEMICALS INC,ARJ,Domestic Common Stock,Manufacturing,Chemicals & Allied Products,mid
22477,ARCELORMITTAL,MT,ADR Common Stock Primary Class,Manufacturing,Steel Works Blast Furnaces & Rolling Mills (Coke Ovens),mid
22501,ARCH WIRELESS INC,ARCHQ,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,small
22561,ARCHIPELAGO LEARNING INC,ARCL,Domestic Common Stock,Services,Services-Educational Services,small
22565,ARCHROCK INC,AROC,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmission,mid
22573,ARCHSTONE SMITH TRUST,ASN,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
22595,HOWMET AEROSPACE INC,ARNC-P,Domestic Preferred Stock,Manufacturing,Rolling Drawing & Extruding Of Nonferrous Metals,mid
22599,ARCSIGHT INC,ARST,Domestic Common Stock,Services,Services-Prepackaged Software,mid
22600,ARCTIC CAT INC,ACAT,Domestic Common Stock,Manufacturing,Miscellaneous Transportation Equipment,mid
22650,ARDELYX INC,ARDX,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
22661,ARDEA BIOSCIENCES INC,RDEA,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
22675,ARDEN GROUP INC,ARDNA,Domestic Common Stock,Retail Trade,Retail-Grocery Stores,mid
22706,ARDEN REALTY INC,ARI1,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
22731,AREA BANCSHARES CORP,AREA,Domestic Common Stock,Finance Insurance And Real Estate,Commercial Banks Nec,small
22734,AREMISSOFT CORP,AREM1,Domestic Common Stock,Services,Services-Prepackaged Software,small
22736,ARENA PHARMACEUTICALS INC,ARNA,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
22786,ARENA RESOURCES INC,ARD1,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
22793,ARGAN INC,AGX,Domestic Common Stock,Construction,Construction - Special Trade Contractors,mid
22817,ARES COMMERCIAL REAL ESTATE CORP,ACRE,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
22836,ARGON ST INC,STST,Domestic Common Stock,Manufacturing,Measuring & Controlling Devices Nec,mid
22848,ARGONAUT GROUP INC,AGII1,Domestic Common Stock,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
22874,ARGOS THERAPEUTICS INC,ARGSQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
22883,ARGOSY GAMING CO,AGY,Domestic Common Stock,Services,Services-Amusement & Recreation Services,mid
22900,ARGUSS COMMUNICATIONS INC,ACX,Domestic Common Stock,Construction,Water Sewer Pipeline Comm & Power Line Construction,small
22959,ARIBA INC,ARBA,Domestic Common Stock,Services,Services-Prepackaged Software,mid
23015,ARK RESTAURANTS CORP,ARKR,Domestic Common Stock,Retail Trade,Retail-Eating  Places,small
23017,ARLINGTON ASSET INVESTMENT CORP,AAIC,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
23040,ARM HOLDINGS PLC,ARM,ADR Common Stock,Manufacturing,Semiconductors & Related Devices,mid
23062,ARMADA HOFFLER PROPERTIES INC,AHH,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate,mid
23078,ARMOR HOLDINGS INC,AH,Domestic Common Stock,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,mid
23101,ARMOUR RESIDENTIAL REIT INC,ARR,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
23126,ARMSTRONG HOLDINGS INC,ACKHQ,Domestic Common Stock,Manufacturing,Plastics Products Nec,small
23131,ARMSTRONG FLOORING INC,AFIIQ,Domestic Common Stock,Manufacturing,Plastics Products Nec,small
23171,ARNOLD INDUSTRIES INC,AIND,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Trucking (No Local),small
23174,AROTECH CORP,ARTX,Domestic Common Stock,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,mid
23259,ARROW ELECTRONICS INC,ARW,Domestic Common Stock,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,large
23317,ARROW FINANCIAL CORP,AROW,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
23363,ARROW INTERNATIONAL INC,ARRO,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
23386,ARROWHEAD PHARMACEUTICALS INC,ARWR,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
23390,ART TECHNOLOGY GROUP INC,ARTG,Domestic Common Stock,Services,Services-Prepackaged Software,mid
23416,ARTISAN COMPONENTS INC,ARTI1,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
23428,ARTES MEDICAL INC,ARTEQ,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,small
23429,ARTESIAN RESOURCES CORP,ARTNA,Domestic Common Stock Primary Class,Transportation Communications Electric Gas And Sanitary Service,Water Supply,mid
23451,ARTESYN TECHNOLOGIES INC,ATSN,Domestic Common Stock,Manufacturing,Electronic Components Nec,mid
23504,ARTIO GLOBAL INVESTORS INC,ART,Domestic Common Stock,Finance Insurance And Real Estate,Investment Advice,mid
23511,ARTS WAY MANUFACTURING CO INC,ARTW,Domestic Common Stock,Manufacturing,Farm Machinery & Equipment,small
23548,ARVIN INDUSTRIES INC,ARV,Domestic Common Stock,Manufacturing,Motor Vehicle Parts & Accessories,small
23550,ASARCO INC,AR1,Domestic Common Stock,Manufacturing,Primary Smelting & Refining Of Nonferrous Metals,small
23551,GALIANO GOLD INC,GAU,Canadian Common Stock,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),mid
23552,ASBURY AUTOMOTIVE GROUP INC,ABG,Domestic Common Stock,Retail Trade,Retail-Auto Dealers & Gasoline Stations,mid
23622,ASCENT CAPITAL GROUP INC,ASCMA,Domestic Common Stock,Services,Services-Miscellaneous Business Services,mid
23645,ASCENT MEDIA GROUP INC,AMGIA,Domestic Common Stock,Services,Services-Motion Picture & Video Tape Distribution,small
23647,ASCENT SOLAR TECHNOLOGIES INC,ASTI,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,small
23648,ASHFORD HOSPITALITY TRUST INC,AHT,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
23685,ASHFORD INC,AINC,Domestic Common Stock,Services,Services-Management Consulting Services,small
23688,ASHLAND INC,ASH,Domestic Common Stock Primary Class,Wholesale Trade,Wholesale-Chemicals & Allied Products,mid
23693,ASHWORTH INC,ASHW,Domestic Common Stock,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,mid
23695,ASIA PULP & PAPER CO LTD,APUUY,ADR Common Stock,Manufacturing,Paper Mills,small
23696,ASK JEEVES INC,ASKJ,Domestic Common Stock,Services,Services-Business Services Nec,mid
23707,ASIAINFO-LINKAGE INC,ASIA1,Domestic Common Stock,Services,Services-Prepackaged Software,mid
23738,ASPECT MEDICAL SYSTEMS INC,ASPM,Domestic Common Stock,Manufacturing,Electromedical & Electrotherapeutic Apparatus,mid
23758,ASPECT COMMUNICATIONS CORP,ASPT,Domestic Common Stock,Services,Services-Prepackaged Software,mid
23775,ASPEN AEROGELS INC,ASPN,Domestic Common Stock,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,small
23829,ASPREVA PHARMACEUTICALS CORP,ASPV,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
23833,ASSEMBLY BIOSCIENCES INC,ASMB,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
23838,ASSET ACCEPTANCE CAPITAL CORP,AACC,Domestic Common Stock,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,mid
23863,ASSISTED LIVING CONCEPTS INC,ALC1,Domestic Common Stock,Services,Services-Nursing & Personal Care Facilities,mid
23879,ASSOCIATED BANC-CORP,ASB,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,State Commercial Banks,mid
23937,ASSOCIATED CAPITAL GROUP INC,AC,Domestic Common Stock,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,small
23944,ASSOCIATED ESTATES REALTY CORP,AEC,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
23980,AT HOME CORP,ATHM1,Domestic Common Stock,Services,Services-Computer Programming Data Processing Etc.,mid
23984,ASSOCIATES FIRST CAPITAL CORP,AFS.A,Domestic Common Stock,Finance Insurance And Real Estate,Personal Credit Institutions,mid
23990,ASSURANT INC,AIZ,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Insurance Carriers Nec,mid
24042,ASTA FUNDING INC,ASFI,Domestic Common Stock,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,mid
24061,ASTEC INDUSTRIES INC,ASTE,Domestic Common Stock,Manufacturing,Construction Machinery & Equip,mid
24114,ASTEX PHARMACEUTICALS INC,ASTX,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
24119,ASTERIAS BIOTHERAPEUTICS INC,AST,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),small
24129,ASTORIA FINANCIAL CORP,AF,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Savings Institution Federally Chartered,mid
24212,ASTRONOVA INC,ALOT,Domestic Common Stock,Manufacturing,Computer Peripheral Equipment Nec,mid
24213,ASTRONICS CORP,ATRO,Domestic Common Stock Primary Class,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,mid
24238,ASTROPOWER INC,APWRQ,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
24253,ASTROTECH CORP,ASTC,Domestic Common Stock,Manufacturing,Laboratory Analytical Instruments,small
24255,@ROAD INC,ARDI,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
24269,ASYST TECHNOLOGIES INC,ASYTQ,Domestic Common Stock,Manufacturing,Special Industry Machinery Nec,mid
24299,AT&T LATIN AMERICA CORP,ATTL,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),small
24304,AT HOME GROUP INC,HOME,Domestic Common Stock,Retail Trade,Retail-Home Furniture Furnishings & Equipment Stores,small
24318,ATARI INC,ATAR1,Domestic Common Stock,Services,Services-Prepackaged Software,small
24330,ATHENEX INC,ATNXQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
24366,ATHENS BANCSHARES CORP,AFCB,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institution Federally Chartered,small
24367,ATHEROGENICS INC,AGIXQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
24385,ATHEROS COMMUNICATIONS INC,ATHR,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
24409,ATHERSYS INC,ATHX,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
24419,ATHLON ENERGY INC,ATHL,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,small
24423,ATKORE INC,ATKR,Domestic Common Stock,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,small
24426,ATLANTIC AMERICAN CORP,AAME,Domestic Common Stock,Finance Insurance And Real Estate,Life Insurance,small
24427,ATLANTIC CAPITAL BANCSHARES INC,ACBI,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,small
24433,ATLANTIC POWER CORP,AT,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Electric Gas & Sanitary Services,mid
